fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Black pomfret,,,1702309901,POB,Perciformes,Carangidae,Parastromateus,niger
Black rockfish,,,1780100132,RMG,Scorpaeniformes,Scorpaenidae,sebastes,melanops
Black scabbardfish,,,1750601201,BSF,Scombroidei,Trichiuridae,aphanopus,carbo
Black scorpionfish,,,1780100901,BBS,Scorpaeniformes,Scorpaenidae,Scorpaena,porcus
Black sea urchin,,,6930500101,UKB,Echinoidea,Arbaciidae,Arbacia,lixula
Black seabass,,,1700208102,BSB,Percoidei,Serranidae,centropristis,striata
Black seabream,,,1703906302,BRB,Percoidei,Sparidae,spondyliosoma,cantharus
Black stone crab,Stone Crab,,2311005001,STC,Brachyura,Xanthidae,menippe,mercenaria
Black wing flyingfish,,,1470402202,HDR,Beloniformes,Exocoetidae,Hirundichthys,rondeletii
Black-dotted grouper,,,1700204271,EIT,Percoidei,Serranidae,epinephelus,stictus
Blackbar hogfish,,,1706311106,BZD,Percoidei,Labridae,Bodianus,speciosus
Blackbellied angler,"monk, monkfish",,1950100102,ANK,Lophiiformes,Lophiidae,Lophius,budegassa
Blackbelly rosefish,,,1780101703,BRF,"","",Helicolenus,dactylopterus
Blackchin guitarfish,,,1100100507,RBC,Rajiformes,Rhinobatidae,Rhinobatos,cemiculus
Blackfin goosefish,"monkfish, peixe-sapo",,1950100107,MVJ,Lophiiformes,Lophiidae,lophius,gastrophysus
Blackfin icefish,,,1709441601,SSI,Percoidei,Channichthyidae,Chaenocephalus,aceratus
Blackfin tuna,,,1750102604,BLF,Perciformes,Scombridae,Thunnus,atlanticus
Blackmouth catshark,,,1080100104,SHO,Carcharhiniformes,Scyliorhinidae,Galeus,melastomus
Blackspot seabream,Red seabream,,1703900801,SBR,Percoidei,Sparidae,pagellus,bogaraveo
Blackspotted croaker,,,1703756201,OTI,Percoidei,Sciaenidae,Protonibea,diacanthus
Blackspotted smooth-hound,,,1080400720,MPT,Carcharhiniformes,Triakidae,Mustelus,punctulatus
Blacktail comber,,,1700206113,WSA,Percoidei,Serranidae,Serranus,atricauda
Blacktip grouper,,,1700204233,EEA,Percoidei,Serranidae,Epinephelus,fasciatus
Blacktip shark,,,1080201003,CCL,Carcharhiniformes,Carcharhinidae,Carcharhinus,limbatus
Bleeker smoothbelly sardinella,,,1210500501,AGC,Clupeiformes,Clupeidae,amblygaster,clupeoides
Blonde ray,,,1100400105,RJH,Rajiformes,Rajidae,Bathyraja,brachyurops
Blood cockle,,,3160407101,BLC,Bivalvia,Arcidae,Anadara,granosa
Blotched picarel,,,1704007501,BPI,Percoidei,Centracanthidae,Spicara,maena
Blue and red shrimp,,,2280203101,ARA,Natantia,Aristaeidae,Aristeus,antennatus
Blue antimora,,,1480203001,ANT,Gadiformes,Moridae,Antimora,rostrata
Blue butterfish,,,1760300401,BLB,"Stromateoidei, Anabantoidei",Stromateidae,Stromateus,fiatola
Blue crab,,,2311101202,CRB,Brachyura,Portunidae,Callinectes,sapidus
Blue grenadier,hoki,,1480501702,GRN,Gadiformes,Merlucciidae,Macruronus,novaezelandiae
Blue jack mackerel,,,1702300402,JAA,Percoidei,Carangidae,Trachurus,picturatus
Blue king crab,,,2302001802,KCI,Anomura,Lithodidae,paralithodes,platypus
Blue ling,,,1480400502,BLI,Gadiformes,Gadidae,molva,dypterygia
Blue mackerel,,,1750100207,MAA,Scombroidei,Scombridae,Scomber,australasicus
Blue marlin,,,1750300505,BUM,Scombroidei,Istiophoridae,makaira,nigricans
Blue mussel,,,3161000105,MUS,Bivalvia,Mytilidae,mytilus,edulis
Blue runner,,,1702304426,RUB,Percoidei,Carangidae,Caranx,crysos
Blue shark,,,1080200401,BSH,Carcharhiniformes,Carcharhinidae,prionace,glauca
Blue shrimp,Camarón azul,,2280100110,PNS,Natantia,Penaeidae,Penaeus,stylirostris
Blue skate,,,1100400101,RJB,Rajiformes,Rajidae,Raja,batis
Blue squat lobster,"Langostino amarillo, Yellow squat lobster",,2301900301,CZJ,Anomura,Galatheidae,cervimunida,johni
Blue swimming crab,Flower crab,,2311100401,SCD,Brachyura,Portunidae,Portunus,pelagicus
Blue tilapia,,,1705905103,OEA,Percoidei,Cichlidae,Oreochromis,aureus
Blue whiting,Poutassou,,1480403301,WHB,Gadiformes,Gadidae,Micromesistius,poutassou
"Blue-Nile tilapia, hybrid",,,17059051XX001,OXW,"","",Oreochromis,aureus x niloticus
Blue-leg swimcrab,,,2311119603,IOD,Brachyura,Portunidae,Liocarcinus,depurator
Bluefin gurnard,Red gurnard ,,1780200301,KUG,Scorpaeniformes,Triglidae,chelidonichthys,kumu
Bluefish,,,1702021301,BLU,Percoidei,Pomatomidae,pomatomus,saltatrix
Bluenose warehou,Blue eye trevalla,,1760801502,BWA,"Stromateoidei, Anabantoidei",Centrolophidae,hyperoglyphe,antarctica
Bluespotted cornetfish,"Bluespotted cornetfish, Trompeta (Spanish), Corneta colorada (Spanish)",,1510200104,FIO,Syngnathiformes,Fistulariidae,Fistularia,commersonii
Bluespotted seabream,Bluespotted seabream,,1703919101,BSC,Perciformes,Sparidae,Pagrus,caeruleostictus
Bluntnose sixgill shark,,,1050200201,SBL,Hexanchiformes,Hexanchidae,Hexanchus,griseus
Boarfish,,,1620300201,BOC,Zeiformes,Caproidae,capros,aper
,Boco,,2310901011,QPR,Decapoda,Cancridae,Cancer,porteri
Bogue,,,1703926101,BOG,Percoidei,Sparidae,Boops,boops
Bonga shad,,,1210503002,BOA,Clupeiformes,Clupeidae,Ethmalosa,fimbriata
Boxlip mullet,,,1650104201,ODL,Mugiliformes,Mugilidae,Oedalechilus,labeo
Brazilian codling,,,1480400801,HKU,Gadiformes,Gadidae,Urophycis,brasiliensis
Brazilian flounder,Linguado,,1830804602,YSL,Pleuronectiformes,Paralichthyidae,Paralichthys,brasiliensis
Brazilian sandperch,,,1720928801,PJR,Trachinoidei,Pinguipedidae,Pinguipes,brasilianus
Brazilian sardinella,,,1210501224,BSR,Clupeiformes,Clupeidae,sardinella,brasiliensis
Brill,,,1830506401,BLL,Pleuronectiformes,Scophthalmidae,scophthalmus,rhombus
Broad-barred king mackerel,Grey mackerel,,1750101513,BBM,Scombroidei,Scombridae,scomberomorus,semifasciatus
Broadnosed pipefish,,,1510600302,STQ,Syngnathiformes,Syngnathidae,Syngnathus,typhle
Broadtail shortfin squid,,,3210501002,SQM,Cephalopoda,Ommastrephidae,Illex,coindetii
Bronze croaker,,,1703718701,OTB,Percoidei,Sciaenidae,Otolithoides,biauritus
Brook trout,Brook trout,,1230101002,SVF,Salmoniformes,Salmonidae,Salvelinus,fontinalis
Broomtail grouper,,,1700204010,GBS,Percoidei,Serranidae,Mycteroperca,xenarcha
Brown ark,,,3160407114,NRQ,Bivalvia,Arcidae,Anadara,similis
Brown bullhead,,,1411000407,ITE,Siluriformes,Ictaluridae,ameiurus,nebulosus
Brown comber,,,1700206109,SRJ,Percoidei,Serranidae,Serranus,hepatus
Brown meagre,,,1703700921,CBM,Percoidei,Sciaenidae,Sciaena,umbra
Brown moray,,,1430600423,AGK,Anguilliformes,Muraenidae,Gymnothorax,unicolor
Brown ray,,,1100400186,JAI,Rajiformes,Rajidae,Raja,miraletus
Brown seaweeds,,,771XXXXXXX,SWB,Phaeophyceae,,,
Brown spiny loster,,,2290100109,NUE,Reptantia,Palinuridae,Panulirus,echinatus
Brown tiger prawn,,,2280100121,PRB,Natantia,Penaeidae,penaeus,esculentus
Brown wrasse,,,1706300506,WRM,Percoidei,Labridae,Labrus,merula
Brown-marbled grouper,Brown-marbled grouper,,1700204273,EWC,Perciformes,Epinephelidae,Epinephelus,fuscoguttatus
Brushtooth lizardfish,,,1311606804,LIB,Aulopiformes,Synodontidae,saurida,undosquamis
Buccaneer anchovy,,,1210600703,STL,Clupeiformes,Engraulidae,encrasicholina,punctifer
Bull ray,,,1100701102,MPO,Rajiformes,Myliobatidae,Pteromylaeus,bovinus
Bullet tuna,Bullet tuna,,1750102303,BLT,Perciformes,Scombridae,Auxis,rochei
,Burgado hembra,,3070401201,OAW,Gastropoda,Trochidae,Phorcus,atratus
,Burgado ibérico,,3070401202,JKU,Gastropoda,Trochidae,Phorcus,sauciatus
Butter catfish,,,1410705701,OKB,Siluriformes,Siluridae,Ompok,bimaculatus
Butter clam,,,3161103702,BCL,Bivalvia,Veneridae,Saxidomus,gigantea
Butter sole,,,1830206801,ISI,Pleuronectiformes,Pleuronectidae,Isopsetta,isolepis
Butterfly blenny,,,1771500601,NUO,Other Perciformes,Blenniidae,Blennius,ocellaris
Cachema weakfish,,,1703701613,YNH,Percoidei,Sciaenidae,Cynoscion,phoxocephalus
Cadenat's sole,,,1830309302,WZA,Pleuronectiformes,Soleidae,Pegusa,cadenati
Calico scallop,,,3160803001,SCC,Bivalvia,Pectinidae,argopecten,gibbus
,"California two-spot octopus, pulpo café",,,FS-2105,"","",Octopus,bimaculatus
Californian anchovy,"Anchoveta norteña, Northern anchovy",,1210600207,NPA,Clupeiformes,Engraulidae,engraulis,mordax
Canary damsel,,,1706205703,AUU,Percoidei,Pomacentridae,Abudefduf,luridus
Canary dentex,,,1703906004,DEN,Percoidei,Sparidae,Dentex,canariensis
Canary drum(=Baardman),,,1703707009,UCA,Percoidei,Sciaenidae,Umbrina,canariensis
Canary moray,,,1430600425,AWB,Anguilliformes,Muraenidae,Gymnothorax,bacalladoi
Canary rockfish,,,1780100115,SPG,Scorpaeniformes,Scorpaenidae,Sebastes,pinniger
Canary tonguesole,,,1830403114,YOI,Pleuronectiformes,Cynoglossidae,Cynoglossus,canariensis
Cape Hope squid,Chokka,,3210400112,CHO,Cephalopoda,Loliginidae,Loligo,reynaudii
Cape bonnetmouth,Redbait,,1703001001,EMM,Percoidei,Emmelichthyidae,emmelichthys,nitidus
Cape dory,,,1620100104,ZCP,Zeiformes,Zeidae,Zeus,capensis
Cape grenadier,,,1480501703,MRC,Gadiformes,Merlucciidae,Macruronus,capensis
Cape hakes,,,14805004XX034,HKC,Gadiformes,Merlucciidae,Merluccius,"paradoxus, m. capensis"
Cape horse mackerel,,,1702300413,HMC,Percoidei,Carangidae,Trachurus,capensis
Cape rock lobster,West coast rock lobster,,2290100201,LBC,Reptantia,Palinuridae,jasus,lalandii
Capelin,,,1230400201,CAP,Salmoniformes,Osmeridae,Mallotus,villosus
